Broad Age Groups and Sex for Region Summary
Region, Country, Year, Age, Both Sexes Population, Male Population, Female Population, Percent Both Sexes, Percent Male, Percent Female, Sex Ratio
"World","Seychelles",2020,Total,95981,49606,46375,100.0,100.0,100.0,107.0
"World","Seychelles",2020,0-14,18095,9297,8798,18.9,18.7,19.0,105.7
"World","Seychelles",2020,15-64,69950,37037,32913,72.9,74.7,71.0,112.5
"World","Seychelles",2020,65+,7936,3272,4664,8.3,6.6,10.1,70.2
"World","Sierra Leone",2020,Total,6624933,3223524,3401409,100.0,100.0,100.0,94.8
"World","Sierra Leone",2020,0-14,2741479,1369942,1371537,41.4,42.5,40.3,99.9
"World","Sierra Leone",2020,15-64,3638360,1752870,1885490,54.9,54.4,55.4,93.0
"World","Sierra Leone",2020,65+,245094,100712,144382,3.7,3.1,4.2,69.8
"World","Singapore",2020,Total,6209660,3033408,3176252,100.0,100.0,100.0,95.5
"World","Singapore",2020,0-14,794648,406983,387665,12.8,13.4,12.2,105.0
"World","Singapore",2020,15-64,4738630,2316302,2422328,76.3,76.4,76.3,95.6
"World","Singapore",2020,65+,676382,310123,366259,10.9,10.2,11.5,84.7
"World","Sint Maarten",2020,Total,43847,21649,22198,100.0,100.0,100.0,97.5
"World","Sint Maarten",2020,0-14,8174,4242,3932,18.6,19.6,17.7,107.9
"World","Sint Maarten",2020,15-64,30608,15022,15586,69.8,69.4,70.2,96.4
"World","Sint Maarten",2020,65+,5065,2385,2680,11.6,11.0,12.1,89.0
"World","Slovakia",2020,Total,5440602,2640317,2800285,100.0,100.0,100.0,94.3
"World","Slovakia",2020,0-14,823308,423180,400128,15.1,16.0,14.3,105.8
"World","Slovakia",2020,15-64,3689907,1850870,1839037,67.8,70.1,65.7,100.6
"World","Slovakia",2020,65+,927387,366267,561120,17.0,13.9,20.0,65.3
"World","Slovenia",2020,Total,2102678,1049474,1053204,100.0,100.0,100.0,99.6
"World","Slovenia",2020,0-14,312094,160134,151960,14.8,15.3,14.4,105.4
"World","Slovenia",2020,15-64,1344268,696920,647348,63.9,66.4,61.5,107.7
"World","Slovenia",2020,65+,446316,192420,253896,21.2,18.3,24.1,75.8
"World","Solomon Islands",2020,Total,685097,349817,335280,100.0,100.0,100.0,104.3
"World","Solomon Islands",2020,0-14,226001,116397,109604,33.0,33.3,32.7,106.2
"World","Solomon Islands",2020,15-64,428218,218959,209259,62.5,62.6,62.4,104.6
"World","Solomon Islands",2020,65+,30878,14461,16417,4.5,4.1,4.9,88.1
"World","Somalia",2020,Total,11757124,5921824,5835300,100.0,100.0,100.0,101.5
"World","Somalia",2020,0-14,4982131,2488604,2493527,42.4,42.0,42.7,99.8
"World","Somalia",2020,15-64,6507564,3327033,3180531,55.3,56.2,54.5,104.6
"World","Somalia",2020,65+,267429,106187,161242,2.3,1.8,2.8,65.9
"World","South Africa",2020,Total,56463617,27901628,28561989,100.0,100.0,100.0,97.7
"World","South Africa",2020,0-14,15778008,7894742,7883266,27.9,28.3,27.6,100.1
"World","South Africa",2020,15-64,37249448,18562930,18686518,66.0,66.5,65.4,99.3
"World","South Africa",2020,65+,3436161,1443956,1992205,6.1,5.2,7.0,72.5
"World","South Sudan",2020,Total,10561244,5436428,5124816,100.0,100.0,100.0,106.1
"World","South Sudan",2020,0-14,4391219,2238534,2152685,41.6,41.2,42.0,104.0
"World","South Sudan",2020,15-64,5902593,3044392,2858201,55.9,56.0,55.8,106.5
"World","South Sudan",2020,65+,267432,153502,113930,2.5,2.8,2.2,134.7
"World","Spain",2020,Total,50015792,24700529,25315263,100.0,100.0,100.0,97.6
"World","Spain",2020,0-14,7511607,3861522,3650085,15.0,15.6,14.4,105.8
"World","Spain",2020,15-64,33256784,16868590,16388194,66.5,68.3,64.7,102.9
"World","Spain",2020,65+,9247401,3970417,5276984,18.5,16.1,20.8,75.2
"World","Sri Lanka",2020,Total,22889201,11172459,11716742,100.0,100.0,100.0,95.4
"World","Sri Lanka",2020,0-14,5288829,2696379,2592450,23.1,24.1,22.1,104.0
"World","Sri Lanka",2020,15-64,15166323,7452765,7713558,66.3,66.7,65.8,96.6
"World","Sri Lanka",2020,65+,2434049,1023315,1410734,10.6,9.2,12.0,72.5
"World","Sudan",2020,Total,45561556,22899254,22662302,100.0,100.0,100.0,101.0
"World","Sudan",2020,0-14,19141925,9726937,9414988,42.0,42.5,41.5,103.3
"World","Sudan",2020,15-64,25040696,12443103,12597593,55.0,54.3,55.6,98.8
"World","Sudan",2020,65+,1378935,729214,649721,3.0,3.2,2.9,112.2
"World","Suriname",2020,Total,609569,306830,302739,100.0,100.0,100.0,101.4
"World","Suriname",2020,0-14,142541,72642,69899,23.4,23.7,23.1,103.9
"World","Suriname",2020,15-64,427123,216751,210372,70.1,70.6,69.5,103.0
"World","Suriname",2020,65+,39905,17437,22468,6.5,5.7,7.4,77.6
"World","Sweden",2020,Total,10202491,5099417,5103074,100.0,100.0,100.0,99.9
"World","Sweden",2020,0-14,1806441,928413,878028,17.7,18.2,17.2,105.7
"World","Sweden",2020,15-64,6295498,3196594,3098904,61.7,62.7,60.7,103.2
"World","Sweden",2020,65+,2100552,974410,1126142,20.6,19.1,22.1,86.5
"World","Switzerland",2020,Total,8403994,4148163,4255831,100.0,100.0,100.0,97.5
"World","Switzerland",2020,0-14,1289507,664255,625252,15.3,16.0,14.7,106.2
"World","Switzerland",2020,15-64,5540289,2784158,2756131,65.9,67.1,64.8,101.0
"World","Switzerland",2020,65+,1574198,699750,874448,18.7,16.9,20.5,80.0
"World","Syria",2020,Total,19398448,9675238,9723210,100.0,100.0,100.0,99.5
"World","Syria",2020,0-14,6493516,3323072,3170444,33.5,34.3,32.6,104.8
